,Plate Waste,Empty Plate,Kitchen Waste,No Objects
20181201154841_646541e6-4df7-41a1-8076-bc3314746fdf.jpg,0,1,0,0
20181201155006_ecdfcf72-d369-4619-a979-3ceee3abaee6.jpg,0,1,0,0
20181201155022_41021fcc-070f-45f7-a73b-679f6b09259b.jpg,1,0,0,0
20181201155220_862367f1-0dde-4679-b063-4dd8f0e4274f.jpg,1,0,0,0
20181201155233_6d39000c-2594-4904-a431-5c8e7f043396.jpg,1,0,0,0
20181201155328_d4ba3da3-8993-4d8d-876e-33066fe7d0f4.jpg,0,0,1,0
20181201155425_1c2f6735-366f-4b32-aa50-11c7580f699e.jpg,0,0,1,0
20181201155455_7093bc7e-8a43-445e-8b8a-eb7e9af80719.jpg,0,0,1,0
20181201155604_2e04dad4-f5a1-4400-93bb-9ce940ff7a23.jpg,0,0,1,0
20181201155618_d668603f-84d8-417b-b5c2-328c3e2a9940.jpg,0,0,1,0
20181201155641_cd862c39-37ee-4eed-8264-e65063a7d830.jpg,0,0,1,0
20181201155705_c7b510b6-e458-41ed-9811-9de037f0bd75.jpg,0,0,1,0
20181201160209_c9561a56-ab3a-4a89-9c82-0d6eb1538ec7.jpg,1,0,0,0
20181201160421_5548a834-4979-4c01-9b27-8481651ecef6.jpg,1,0,0,0
20181201160432_9b52383c-7543-4661-b840-6fb28dbda751.jpg,1,0,0,0
20181201160441_dd94057e-cf5c-40ce-b234-65bbd36bf094.jpg,1,0,0,0
20181201160457_e59cc597-2755-49d1-8aef-d0cc360a99ee.jpg,1,0,0,0
20181201160624_4d14fb8b-c831-46ba-b5d1-2dc73110422e.jpg,1,0,0,0
20181201160702_d47f0c3d-c1e7-4936-a983-ea99590cd244.jpg,0,0,1,0
20181201160728_1c2d98fe-f995-4d12-aa71-49e1da37f102.jpg,0,0,1,0
20181201161341_be90db48-67c1-4b13-9d01-2998b54b7184.jpg,1,0,0,0
20181201161551_2d1a0ec5-119d-4735-824f-00ea4fd166e6.jpg,0,0,1,0
20181201161642_be283549-9850-4fa6-8c05-8413a037a8f0.jpg,1,0,0,0
